성분명,성분코드,제품코드,제품명,업소명,공고일자,공고번호,약품상세정보,비고,급여여부
quetiapine fumarate (as quetiapine),378610ATB,642404830,쿠티아핀정12.5밀리그램(쿠에티아핀푸마르산염)_(14.39mg/1정),영진약품(주),2021-07-15,20210248,"다른 항정신병약과 같이 이 약을 장기간 투여 후 지연성운동이상 일으킬 위험이 있음. 지연성운동이상증의 발생률은 고령자, 특히 여성 고령자에서 높은 것으로 보임. 비정형성 항정신병 약제들을 메타 분석한 결과, 치매 관련 정신병을 가진 노인 환자에서 위약보다 사망 위험성 증가.",,급여
quetiapine fumarate (as quetiapine),378610ATB,657203130,쿠에타핀정12.5밀리그램(쿠에티아핀푸마르산염)_(14.39mg/1정),환인제약(주),2021-07-15,20210248,"다른 항정신병약과 같이 이 약을 장기간 투여 후 지연성운동이상 일으킬 위험이 있음. 지연성운동이상증의 발생률은 고령자, 특히 여성 고령자에서 높은 것으로 보임. 비정형성 항정신병 약제들을 메타 분석한 결과, 치매 관련 정신병을 가진 노인 환자에서 위약보다 사망 위험성 증가.",,급여
quetiapine fumarate (as quetiapine),378610ATB,651904730,큐로켈정12.5밀리그램(쿠에티아핀푸마르산염)_(14.39mg/1정),명인제약(주),2021-07-15,20210248,"다른 항정신병약과 같이 이 약을 장기간 투여 후 지연성운동이상 일으킬 위험이 있음. 지연성운동이상증의 발생률은 고령자, 특히 여성 고령자에서 높은 것으로 보임. 비정형성 항정신병 약제들을 메타 분석한 결과, 치매 관련 정신병을 가진 노인 환자에서 위약보다 사망 위험성 증가.",,급여
quetiapine fumarate (as quetiapine),378610ATB,645306620,카세핀정12.5밀리그램(쿠에티아핀푸마르산염)_(14.39mg/1정),한림제약(주),2021-07-15,20210248,"다른 항정신병약과 같이 이 약을 장기간 투여 후 지연성운동이상 일으킬 위험이 있음. 지연성운동이상증의 발생률은 고령자, 특히 여성 고령자에서 높은 것으로 보임. 비정형성 항정신병 약제들을 메타 분석한 결과, 치매 관련 정신병을 가진 노인 환자에서 위약보다 사망 위험성 증가.",,급여
quetiapine fumarate (as quetiapine),378610ATB,642707620,동화쿠에티아핀정12.5밀리그램(쿠에티아핀푸마르산염)_(14.39mg/1정),동화약품(주),2021-07-15,20210248,"다른 항정신병약과 같이 이 약을 장기간 투여 후 지연성운동이상 일으킬 위험이 있음. 지연성운동이상증의 발생률은 고령자, 특히 여성 고령자에서 높은 것으로 보임. 비정형성 항정신병 약제들을 메타 분석한 결과, 치매 관련 정신병을 가진 노인 환자에서 위약보다 사망 위험성 증가.",,급여
diazepam,142930BIJ,647800761,삼진디아제팜주_(10mg/2mL),삼진제약(주),2017-02-16,20170079,"노인에서의 장기지속형 벤조다이아제핀 사용은 인지기능 저하, 섬망, 낙상, 골절 및 교통사고의 위험으로 사용을 추천하지 않으며, 단시간 작용 벤조다이아제핀 사용을 추천함",,급여
haloperidol,167930BIJ,651901021,명인할로페리돌주사_(5mg/1mL),명인제약(주),2018-08-31,20180371,"노인에서의 정형 항정신병약물 사용은 추체외로 증상, 항콜린성 부작용 등이 나타나기 쉬우므로 사용을 추천하지 않으며, 비정형 항정신병약물 사용을 추천함",,급여
haloperidol,167930BIJ,657200921,페리돌주(할로페리돌)_(5mg/1mL),환인제약(주),2018-08-31,20180371,"노인에서의 정형 항정신병약물 사용은 추체외로 증상, 항콜린성 부작용 등이 나타나기 쉬우므로 사용을 추천하지 않으며, 비정형 항정신병약물 사용을 추천함",,급여
haloperidol decanoate (as haloperidol),168030BIJ,76100071,할돌데카노아스주사(할로페리돌데카노에이트)_(70.52mg/1mL),클리니젠코리아(유),2018-08-31,20180371,"노인에서의 정형 항정신병약물 사용은 추체외로 증상, 항콜린성 부작용 등이 나타나기 쉬우므로 사용을 추천하지 않으며, 비정형 항정신병약물 사용을 추천함",,급여
haloperidol decanoate (as haloperidol),168030BIJ,646900911,할돌데카노아스주사(할로페리돌데카노에이트)_(70.52mg/1mL),(주)한국얀센,2018-08-31,20180371,"노인에서의 정형 항정신병약물 사용은 추체외로 증상, 항콜린성 부작용 등이 나타나기 쉬우므로 사용을 추천하지 않으며, 비정형 항정신병약물 사용을 추천함",,급여
blonanserin,511303ATB,642203910,로나센정8밀리그램(블로난세린)_(8mg/1정),부광약품(주),2022-05-27,20220251,"치매 고령환자에게 비정형 항정신병약물 투여시 뇌혈관 질환, 사망의 위험 증가, 고령자에 투여시 추체외로 증상과 같은 이상반응이 나타나기 쉬움",,급여
blonanserin,511303ATB,653005970,파마블로난세린정8밀리그램_(8mg/1정),(주)한국파마,2022-05-27,20220251,"치매 고령환자에게 비정형 항정신병약물 투여시 뇌혈관 질환, 사망의 위험 증가, 고령자에 투여시 추체외로 증상과 같은 이상반응이 나타나기 쉬움",,급여
blonanserin,511303ATB,657203450,로나큐정8밀리그램(블로난세린)_(8mg/1정),환인제약(주),2022-05-27,20220251,"치매 고령환자에게 비정형 항정신병약물 투여시 뇌혈관 질환, 사망의 위험 증가, 고령자에 투여시 추체외로 증상과 같은 이상반응이 나타나기 쉬움",,급여
aripiprazole,451505ATB,651904410,레피졸정30밀리그램(아리피프라졸)_(30mg/1정),명인제약(주),2021-07-15,20210248,"항정신병약으로 치료받는 환자에서 잠재적으로 비가역적, 비자발적인, 이상운동 증후군이 발생할 수 있으며, 이 증후군은 고령자, 특히 여성 고령자에서 가장 많이 발생함. 비정형 정신병치료제를 복용하는 치매성 노인 정신질환 환자의 사망 위험성은 위약과 비교 시 증가. 이 약을 투여한 환자(평균연령:84세, 범위:78~88세)에서 사망례를 포함한 뇌혈관계 이상반응(예:뇌졸중, 일과성허혈발작)의 증가.",,급여
aripiprazole,451505ATB,657202820,아리피졸정30밀리그램(아리피프라졸)_(30mg/1정),환인제약(주),2021-07-15,20210248,"항정신병약으로 치료받는 환자에서 잠재적으로 비가역적, 비자발적인, 이상운동 증후군이 발생할 수 있으며, 이 증후군은 고령자, 특히 여성 고령자에서 가장 많이 발생함. 비정형 정신병치료제를 복용하는 치매성 노인 정신질환 환자의 사망 위험성은 위약과 비교 시 증가. 이 약을 투여한 환자(평균연령:84세, 범위:78~88세)에서 사망례를 포함한 뇌혈관계 이상반응(예:뇌졸중, 일과성허혈발작)의 증가.",,급여
solifenacin fumarate,655601ATB,51700030,에이케어정9.96밀리그램(솔리페나신푸마르산염)_(9.96mg/1정),(주)코아팜바이오,2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin fumarate,655602ATB,51700040,에이케어정4.98밀리그램(솔리페나신푸마르산염)_(4.98mg/1정),(주)코아팜바이오,2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
quetiapine fumarate (as quetiapine),378605ATB,657203320,쿠에타핀정50밀리그램(쿠에티아핀푸마르산염)_(57.56mg/1정),환인제약(주),2021-07-15,20210248,"다른 항정신병약과 같이 이 약을 장기간 투여 후 지연성운동이상 일으킬 위험이 있음. 지연성운동이상증의 발생률은 고령자, 특히 여성 고령자에서 높은 것으로 보임. 비정형성 항정신병 약제들을 메타 분석한 결과, 치매 관련 정신병을 가진 노인 환자에서 위약보다 사망 위험성 증가.",,급여
quetiapine fumarate (as quetiapine),378605ATB,642404840,쿠티아핀정50밀리그램(쿠에티아핀푸마르산염)_(57.56mg/1정),영진약품(주),2021-07-15,20210248,"다른 항정신병약과 같이 이 약을 장기간 투여 후 지연성운동이상 일으킬 위험이 있음. 지연성운동이상증의 발생률은 고령자, 특히 여성 고령자에서 높은 것으로 보임. 비정형성 항정신병 약제들을 메타 분석한 결과, 치매 관련 정신병을 가진 노인 환자에서 위약보다 사망 위험성 증가.",,급여
