성분코드,성분명,제품코드,제품명,업소명,약품상세정보,급여여부
100901ACH,aceclofenac,648101510,에이서캡슐(아세클로페낙)_(0.1g/1캡슐),경동제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ACS,aceclofenac,644304150,클란자에스연질캡슐(아세클로페낙)(수출명:SpeenacSoftCaps.)_(0.1g/1캡슐),한국유나이티드제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,52400690,로페낙정(아세클로페낙)_(0.1g/1정),(주)인트로바이오파마,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,52700370,케페낙정100밀리그램(아세클로페낙)_(0.1g/1정),(주)휴온스생명과학,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,53300200,아세크릴정(아세클로페낙)_(0.1g/1정),(주)중헌제약,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,53500180,오스템아세클로페낙정_(0.1g/1정),오스템파마주식회사,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,53600020,뉴세페낙정100밀리그램(아세클로페낙)_(0.1g/1정),안국뉴팜(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,55102270,코스페낙정100밀리그램(아세클로페낙)_(0.1g/1정),코스맥스파마(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,55800220,신텍클로페낙정100밀리그램(아세클로페낙)_(0.1g/1정),(주)셀비온,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,57000810,아세클론정(아세클로페낙)_(0.1g/1정),주식회사 더유제약,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,57600580,아세진정(아세클로페낙)_(0.1g/1정),대원바이오텍주식회사,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,57700060,독립아세클로페낙정_(0.1g/1정),독립바이오제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,58200350,세로탈정100밀리그램(아세클로페낙)_(0.1g/1정),(주)아리제약,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,59000440,아세티정(아세클로페낙)_(0.1g/1정),주식회사케이에스제약,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,59600280,아세요정(아세클로페낙)_(0.1g/1정),(주)킴스제약,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,60500010,메가클로페낙정(아세클로페낙)_(0.1g/1정),(주)엘앤씨바이오,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,73001500,아세팜정100밀리그램(아세클로페낙)_(0.1g/1정),건일바이오팜주식회사,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,73200570,아세크정(아세클로페낙)_(0.1g/1정),주식회사 노바엠헬스케어,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,621801920,아페민정(아세클로페낙)_(0.1g/1정),(주)한국파비스제약,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,622600420,아세티론정(아세클로페낙)_(0.1g/1정),(주)씨엘팜,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,622800200,아페락정(아세클로페낙)_(0.1g/1정),(주)마더스제약,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,625200230,아세로낙정(아세클로페낙)_(0.1g/1정),(주)화이트생명과학,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,625500270,셀페낙정(아세클로페낙)_(0.1g/1정),(주)텔콘알에프제약,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,625800250,아펙정(아세클로페낙)_(0.1g/1정),메딕스제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,628800250,휴낙정(아세클로페낙)_(0.1g/1정),(주)휴비스트제약,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,628900120,아펜정(아세클로페낙)_(0.1g/1정),(주)이든파마,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
100901ATB,aceclofenac,640900550,아세클란정(아세클로페낙)_(0.1g/1정),(주)일화,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함.",급여
