성분명,성분코드,제품코드,제품명,업체명,특정연령,특정연령단위,연령처리조건,고시번호,고시일자,상세정보,급여여부
"acetaminophen,tramadol hydrochloride",513000ATB,52400490,엘트라셋정_(1정),(주)인트로바이오파마,12,세 (3),미만 (1),20190041,2019-05-22,소아에서 생명에 치명적인 호흡 억제 및 사망 발생,급여
"acetaminophen,tramadol hydrochloride",480600ATB,52400500,엘트라셋세미정_(1정),(주)인트로바이오파마,12,세 (3),미만 (1),20190041,2019-05-22,소아에서 생명에 치명적인 호흡 억제 및 사망 발생,급여
"acetaminophen,tramadol hydrochloride",513000ATB,52700180,티오셋정_(1정),(주)휴온스생명과학,12,세 (3),미만 (1),20190041,2019-05-22,소아에서 생명에 치명적인 호흡 억제 및 사망 발생,급여
"acetaminophen,tramadol hydrochloride",480600ATB,52700520,티오셋세미정_(1정),(주)휴온스생명과학,12,세 (3),미만 (1),20190041,2019-05-22,소아에서 생명에 치명적인 호흡 억제 및 사망 발생,급여
"acetaminophen,tramadol hydrochloride",513000ATB,53300230,듀얼셋정_(1정),(주)중헌제약,12,세 (3),미만 (1),20190041,2019-05-22,소아에서 생명에 치명적인 호흡 억제 및 사망 발생,급여
"acetaminophen,tramadol hydrochloride",480600ATB,53300240,듀얼셋세미정_(1정),(주)중헌제약,12,세 (3),미만 (1),20190041,2019-05-22,소아에서 생명에 치명적인 호흡 억제 및 사망 발생,급여
"acetaminophen,tramadol hydrochloride",513000ATR,53300900,듀얼셋세미서방정_(1정),(주)중헌제약,12,세 (3),미만 (1),20190041,2019-05-22,소아에서 생명에 치명적인 호흡 억제 및 사망 발생,급여
"acetaminophen,tramadol hydrochloride",513000ATB,53600230,뉴트라정_(1정),안국뉴팜(주),12,세 (3),미만 (1),20190041,2019-05-22,소아에서 생명에 치명적인 호흡 억제 및 사망 발생,급여
"acetaminophen,tramadol hydrochloride",480600ATB,54800230,원트라셋세미정_(1정),엔비케이제약(주),12,세 (3),미만 (1),20190041,2019-05-22,소아에서 생명에 치명적인 호흡 억제 및 사망 발생,급여
"acetaminophen,tramadol hydrochloride",513000ATB,54800240,원트라셋정_(1정),엔비케이제약(주),12,세 (3),미만 (1),20190041,2019-05-22,소아에서 생명에 치명적인 호흡 억제 및 사망 발생,급여
"acetaminophen,tramadol hydrochloride",480600ATB,55800250,아스트라셋세미정_(1정),(주)셀비온,12,세 (3),미만 (1),20190041,2019-05-22,소아에서 생명에 치명적인 호흡 억제 및 사망 발생,급여
"acetaminophen,tramadol hydrochloride",513000ATB,57000740,소울트라정_(1정),주식회사 더유제약,12,세 (3),미만 (1),20190041,2019-05-22,소아에서 생명에 치명적인 호흡 억제 및 사망 발생,급여
"acetaminophen,tramadol hydrochloride",513000ATB,57600550,타노셋정_(1정),대원바이오텍주식회사,12,세 (3),미만 (1),20190041,2019-05-22,소아에서 생명에 치명적인 호흡 억제 및 사망 발생,급여
"acetaminophen,tramadol hydrochloride",480600ATB,57600560,타노셋세미정_(1정),대원바이오텍주식회사,12,세 (3),미만 (1),20190041,2019-05-22,소아에서 생명에 치명적인 호흡 억제 및 사망 발생,급여
"acetaminophen,tramadol hydrochloride",514100ATR,57600600,타노셋서방정_(1정),대원바이오텍주식회사,12,세 (3),미만 (1),20190041,2019-05-22,소아에서 생명에 치명적인 호흡 억제 및 사망 발생,급여
"acetaminophen,tramadol hydrochloride",513000ATR,57600610,타노셋세미서방정_(1정),대원바이오텍주식회사,12,세 (3),미만 (1),20190041,2019-05-22,소아에서 생명에 치명적인 호흡 억제 및 사망 발생,급여
"acetaminophen,tramadol hydrochloride",513000ATB,57700300,아세트라돌정_(1정),독립바이오제약(주),12,세 (3),미만 (1),20190041,2019-05-22,소아에서 생명에 치명적인 호흡 억제 및 사망 발생,급여
"acetaminophen,tramadol hydrochloride",480600ATB,57700430,아세트라돌세미정_(1정),독립바이오제약(주),12,세 (3),미만 (1),20190041,2019-05-22,소아에서 생명에 치명적인 호흡 억제 및 사망 발생,급여
"acetaminophen,tramadol hydrochloride",513000ATB,58200480,아트마셋정_(1정),(주)아리제약,12,세 (3),미만 (1),20190041,2019-05-22,소아에서 생명에 치명적인 호흡 억제 및 사망 발생,급여
"acetaminophen,tramadol hydrochloride",480600ATB,58200520,아트마셋세미정_(1정),(주)아리제약,12,세 (3),미만 (1),20190041,2019-05-22,소아에서 생명에 치명적인 호흡 억제 및 사망 발생,급여
"acetaminophen,tramadol hydrochloride",513000ATB,59000950,케이셋정_(1정),주식회사케이에스제약,12,세 (3),미만 (1),20190041,2019-05-22,소아에서 생명에 치명적인 호흡 억제 및 사망 발생,급여
